Date,Open,High,Low,Close,Adj Close,Volume
2017-10-01,49.549999,52.230000,48.700001,51.150002,43.725098,122609400
2017-11-01,51.810001,54.220001,48.970001,50.880001,43.726921,137073300
2017-12-01,51.509998,56.369999,50.080002,54.889999,47.173164,109758300
2018-01-01,55.090000,61.320000,54.820000,58.810001,50.542061,110956800
2018-02-01,59.000000,59.970001,50.180000,54.310001,46.674702,132775800
2018-03-01,54.500000,59.820000,52.779999,59.290001,51.228809,147689000
2018-04-01,59.270000,67.300003,56.570000,65.500000,56.594486,185823500
2018-05-01,65.050003,71.709999,64.320000,67.389999,58.227528,155469100
2018-06-01,67.760002,70.989998,64.790001,69.620003,60.402599,149341000
2018-07-01,68.910004,72.940002,68.199997,72.169998,62.614979,119577000
2018-08-01,71.519997,74.430000,67.709999,73.430000,63.969772,114781200
2018-09-01,73.930000,78.680000,69.419998,77.400002,67.428291,108011700
2018-10-01,77.769997,80.239998,65.000000,69.900002,60.894566,153251700
2018-11-01,70.199997,71.260002,62.410000,66.180000,57.896397,150582000
2018-12-01,68.099998,69.720001,56.750000,62.349998,54.545795,136787900
2019-01-01,60.689999,68.309998,60.430000,67.690002,59.217400,132754500
2019-02-01,68.339996,71.010002,65.260002,67.849998,59.357368,105631700
2019-03-01,68.089996,70.059998,64.910004,66.739998,58.651405,161143200
2019-04-01,67.489998,68.220001,62.080002,63.119999,55.470131,154294900
2019-05-01,63.730000,64.529999,57.820000,58.959999,51.814308,148524500
2019-06-01,59.070000,63.299999,56.980000,61.000000,53.874069,126853900
2019-07-01,62.000000,62.810001,57.020000,59.080002,52.178364,125728900
2019-08-01,58.080002,60.279999,50.130001,52.180000,46.318619,140624400
2019-09-01,51.049999,63.220001,50.740002,56.980000,50.579430,159866500
2019-10-01,57.500000,57.970001,52.299999,55.200001,48.999382,136491800
2019-11-01,55.650002,61.389999,55.470001,59.939999,53.609367,125115400
2019-12-01,60.240002,65.739998,58.610001,65.029999,58.161785,122017200
2020-01-01,65.279999,67.129997,59.119999,59.430000,53.153233,124243600
2020-02-01,59.410000,61.150002,45.119999,48.419998,43.306061,157156000
2020-03-01,49.320000,51.490002,20.840000,30.799999,27.741997,343213100
2020-04-01,29.320000,43.580002,28.830000,42.099998,37.920067,243841500
2020-05-01,40.540001,45.119999,37.779999,42.180000,37.992119,155868000
2020-06-01,42.259998,50.790001,39.919998,42.020000,38.226486,166530100
2020-07-01,42.349998,42.869999,35.900002,37.389999,34.014481,143092200
2020-08-01,37.270000,41.830002,36.470001,37.889999,34.820984,128300100
2020-09-01,37.419998,37.599998,32.169998,32.840000,30.180025,173477200
2020-10-01,32.230000,36.000000,27.530001,28.620001,26.301830,250729200
2020-11-01,29.420000,45.360001,28.510000,39.560001,36.802753,292005800
2020-12-01,40.900002,44.349998,38.770000,39.990002,37.202793,238296700
2021-01-01,40.500000,48.290001,39.180000,40.029999,37.239994,240929600
2021-02-01,40.430000,55.509998,39.700001,52.009998,48.385017,198402100
2021-03-01,53.470001,61.139999,50.529999,52.970001,49.730682,249917200
2021-04-01,53.119999,54.500000,47.849998,51.139999,48.012592,175540700
2021-05-01,51.919998,59.340000,51.560001,55.740002,52.331284,175048100
2021-06-01,57.080002,62.349998,57.049999,60.900002,57.620644,186779800
2021-07-01,62.689999,63.570000,52.820000,56.060001,53.041267,182049300
2021-08-01,56.529999,57.759998,51.410000,55.529999,52.941517,154467400
2021-09-01,55.560001,68.889999,54.419998,67.769997,64.610954,214397200
2021-10-01,68.379997,77.980003,68.309998,74.489998,71.017715,183147000
2021-11-01,74.949997,77.150002,69.339996,70.129997,67.262619,176885300
2021-12-01,72.010002,75.959999,66.059998,72.180000,69.228806,151459400
2022-01-01,72.029999,89.739998,72.019997,88.620003,85.232468,176296900
2022-02-01,87.400002,95.070000,85.290001,94.860001,91.233932,172844600
2022-03-01,95.849998,107.519997,92.320000,100.000000,96.661232,233961300
2022-04-01,100.150002,104.110001,88.769997,95.519997,92.606728,135826400
2022-05-01,94.269997,117.989998,92.580002,112.360001,108.933136,168033200
2022-06-01,114.360001,124.080002,87.260002,89.809998,87.461830,200240500
2022-07-01,91.930000,97.919998,78.300003,97.430000,95.618851,142834600
2022-08-01,95.309998,115.470001,88.000000,109.449997,107.415405,147633700
2022-09-01,107.779999,118.389999,98.459999,102.339996,100.889244,160463800
